lat,lng
35.676144,139.740509
35.70120546,139.7698634
35.70425689,139.7708205
35.69439079,139.7779435
35.69520224,139.7520558
35.685356,139.739761
35.69051329,139.7407586
35.697388,139.760391
35.6934106,139.768504
35.69922771,139.7786294
35.69171046,139.7731382
35.6945488,139.7810002
35.6891351,139.7675844
35.69741089,139.7462103
35.68057102,139.7386449
35.6881118,139.734079
35.67318406,139.7716407
35.67225297,139.7614579
35.66547476,139.7648268
35.662054,139.782316
35.660681,139.780102
35.66038166,139.7761889
35.673533,139.784296
35.67588757,139.7818529
35.65526989,139.7818156
35.658896,139.785571
35.659859,139.784863
35.652051,139.774822
35.666229,139.776556
35.67073759,139.7720614
35.66809418,139.7709064
35.670674,139.785284
35.66866858,139.7845448
35.66831151,139.7850496
35.69227613,139.7869761
35.6824555,139.7842832
35.68335943,139.7879075
35.67971388,139.7768053
35.688807,139.7842784
35.69096378,139.7770914
35.68482236,139.7815209
35.68826679,139.7705503
35.679164,139.769081
35.67479928,139.7755948
35.653487,139.771411
35.672165,139.7787335
35.66871421,139.7763354
35.657226,139.731113
35.667846,139.748776
35.633009,139.749549
35.633302,139.749189
35.634319,139.751406
35.629514,139.747112
35.629474,139.749232
35.631003,139.749144
35.631028,139.749688
35.640814,139.734212
35.641971,139.73399
35.642382,139.734824
35.636174,139.73437
35.633153,139.735756
35.653027,139.742324
35.643176,139.738062
35.645328,139.741022
35.646547,139.739558
35.650966,139.750092
35.648793,139.749751
35.64506669,139.7446945
35.646746,139.751886
35.646084,139.750911
35.640548,139.748568
35.638412,139.746409
35.659933,139.750146
35.661336,139.749778
35.66561,139.757058
35.661199,139.753813
35.66163,139.750419
35.660909,139.722781
35.656452,139.724888
35.656892,139.720523
35.674757,139.731694
35.670358,139.734936
35.669633,139.737538
35.669195,139.73124
35.633986,139.777247
35.629996,139.777122
35.658175,139.742695
35.656942,139.740899
35.669159,139.721259
35.669966,139.719079
35.666481,139.717319
35.663463,139.716128
35.651408,139.735148
35.650701,139.735665
35.649779,139.729964
35.651053,139.72745
35.644881,139.730975
35.644283,139.729296
35.643672,139.726904
35.643503,139.724573
35.636767,139.728694
35.6377,139.725011
35.658827,139.756887
35.658824,139.757538
35.674238,139.722164
35.661842,139.738504
35.660657,139.735062
35.660894,139.732209
35.718228,139.701719
35.677574,139.718297
35.709045,139.721121
35.713384,139.693306
35.689447,139.689571
35.721122,139.675148
35.705066,139.714415
35.684842,139.711762
35.681146,139.728869
35.706059,139.695969
35.70489457,139.7484712
35.7208123,139.7266708
35.71859764,139.7324048
35.7198756,139.7441602
35.71201647,139.7627191
35.73282093,139.7461753
35.71518049,139.7212219
35.723414,139.78595
35.713522,139.799231
35.728465,139.792101
35.71223,139.786782
35.721218,139.774904
35.724912,139.803592
35.719345,139.793992
35.699323,139.782184
35.699848,139.789926
35.704487,139.789297
35.706931,139.777511
35.72393,139.765347
35.713938,139.766735
35.713874,139.78366
35.724371,139.798267
35.717291,139.784295
35.710174,139.792873
35.632641,139.72435
35.634586,139.72226
35.608997,139.730225
35.622047,139.715668
35.614922,139.726959
35.598705,139.730713
35.618809,139.724792
35.604801,139.739777
35.597939,139.735626
35.612305,139.74411
35.611416,139.736923
35.617058,139.738342
35.623569,139.731628
35.63105744,139.7075174
35.6270926,139.6991159
